SECCION ELECTORAL,MUNICIPIO,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,CAND_IND_1,CAND_IND_2,CAND_IND_3,PAN0PRI0PRD,PAN0PRI,PAN0PRD,PRI0PRD,PVEM0PT0MORENA,PVEM0PT,PVEM0MORENA,PT0MORENA,TOTAL DE VOTOS,LISTA NOMINAL,CASILLA,DISTRITO F,DISTRITO L
1764,SAN MARTIN TEXMELUCAN,35,32,4,26,19,32,69,7,2,12,0,0,0,1,0,0,0,1,1,2,4,258,599,C,5,7
1764,SAN MARTIN TEXMELUCAN,37,33,2,21,19,29,67,10,3,11,0,0,0,3,0,0,1,0,0,1,1,246,598,C,5,7
1765,SAN MARTIN TEXMELUCAN,27,33,5,10,21,15,67,11,2,17,0,0,0,2,0,0,0,3,0,0,0,231,698,B,5,7
1765,SAN MARTIN TEXMELUCAN,17,38,7,24,15,26,84,12,1,16,0,0,0,0,1,0,1,6,0,0,0,263,698,C,5,7
1766,SAN MARTIN TEXMELUCAN,38,22,3,57,16,21,83,9,4,7,0,0,0,1,1,0,0,1,1,0,2,276,666,B,5,7
1766,SAN MARTIN TEXMELUCAN,25,35,3,70,16,33,81,13,3,7,0,0,0,0,0,0,0,0,0,1,3,304,666,C,5,7
1766,SAN MARTIN TEXMELUCAN,44,47,4,72,8,18,72,9,4,8,0,0,0,1,0,0,0,0,1,1,0,306,666,C,5,7
1766,SAN MARTIN TEXMELUCAN,38,30,0,61,21,26,72,13,4,9,0,0,0,0,1,1,0,0,0,0,2,290,666,C,5,7
1766,SAN MARTIN TEXMELUCAN,49,33,4,66,15,21,66,13,4,6,0,0,0,1,1,1,0,1,0,1,1,292,665,C,5,7
1767,SAN MARTIN TEXMELUCAN,29,36,2,22,14,37,73,16,0,3,0,0,0,1,1,0,0,0,0,0,1,244,531,B,5,7
1767,SAN MARTIN TEXMELUCAN,28,38,5,19,14,27,64,20,2,3,0,0,0,1,1,1,0,0,0,0,0,234,531,C,5,7
1767,SAN MARTIN TEXMELUCAN,31,48,5,21,12,34,56,8,1,11,0,0,0,1,0,0,0,1,1,0,1,246,531,C,5,7
1768,SAN MARTIN TEXMELUCAN,25,43,0,13,24,22,63,9,3,11,0,0,0,1,0,0,0,0,1,0,4,233,584,B,5,7
1768,SAN MARTIN TEXMELUCAN,26,34,0,14,23,44,68,8,1,9,0,0,0,2,0,0,0,0,0,0,1,246,584,C,5,7
1768,SAN MARTIN TEXMELUCAN,36,40,3,10,20,33,52,22,2,8,0,0,0,1,0,0,0,0,0,0,1,244,583,C,5,7
1769,SAN MARTIN TEXMELUCAN,30,21,4,11,40,38,68,5,0,5,0,0,0,0,1,0,0,0,1,0,4,238,606,B,5,7
1769,SAN MARTIN TEXMELUCAN,33,34,2,19,29,41,51,8,2,6,0,0,0,0,0,1,0,0,0,2,3,245,605,C,5,7
1769,SAN MARTIN TEXMELUCAN,40,43,7,7,36,23,52,8,1,12,0,0,0,1,0,0,0,0,0,1,1,249,605,C,5,7
1770,SAN MARTIN TEXMELUCAN,25,43,6,10,13,29,69,10,0,7,0,0,0,2,0,1,0,1,1,0,2,231,663,B,5,7
1770,SAN MARTIN TEXMELUCAN,26,29,1,15,31,22,47,10,2,12,0,0,0,0,0,0,0,0,1,0,0,205,663,C,5,7
1770,SAN MARTIN TEXMELUCAN,27,41,3,12,16,29,46,6,2,11,0,0,0,4,1,0,0,0,0,0,0,211,663,C,5,7
1770,SAN MARTIN TEXMELUCAN,26,31,3,9,16,24,68,15,2,11,0,0,0,1,0,0,0,3,0,0,0,220,662,C,5,7
1770,SAN MARTIN TEXMELUCAN,34,31,2,22,19,10,53,13,3,8,0,0,0,0,0,0,0,0,1,0,0,218,662,C,5,7
1771,SAN MARTIN TEXMELUCAN,35,33,4,24,19,12,59,10,1,4,0,0,0,0,1,0,0,0,0,0,1,211,685,B,5,7
1771,SAN MARTIN TEXMELUCAN,37,25,4,17,20,13,49,10,1,4,0,0,0,2,1,0,1,1,0,1,2,196,684,C,5,7
1771,SAN MARTIN TEXMELUCAN,51,30,4,14,22,18,49,6,5,4,0,0,0,0,0,0,0,0,0,0,0,217,684,C,5,7
