SECCION ELECTORAL,MUNICIPIO,PAN,PRI,PRD,PT,PVEM,MC,CPP,PSI,MORENA,PES,PANAL,C_PRD_MC_CPP,C_PRD_MC,C_PRD_CPP,C_MC_CPP,C_PAN_PRD_MC_CPP,C_PAN_PRD_MC,C_PAN_PRD_CPP,C_PAN_MC_CPP,C_PRD_MC_CPP,C_PAN_PRD,C_PAN_MC,C_PAN_CPP,C_PRD_MC,C_PRD_CPP,C_MC_CPP,C_PT_PVEM_MORENA_PES,C_PT_PVEM_MORENA,C_PT_PVEM_PES,C_PT_MORENA_PES,C_PVEM_MORENA_PES,C_PT_PVEM,C_PT_MORENA,C_PT_PES,C_PVEM_MORENA,C_PVEM_PES,C_MORENA_PES,C_PT_MORENA_PES,C_PT_MORENA,C_PT_PES,C_MORENA_PES,C_PAN_CPP,C_PRI_CPP,TOTAL DE VOTOS,LISTA NOMINAL,CASILLA,DISTRITO F,DISTRITO L
2084,TEPEOJUMA,0,174,0,50,1,0,0,0,115,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,0,1,0,0,377,541,B,13,22
2084,TEPEOJUMA,0,168,0,41,0,0,0,0,115,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,1,0,0,0,365,541,C,13,22
2084,TEPEOJUMA,0,182,0,46,0,1,0,0,110,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,1,1,0,0,379,540,C,13,22
2084,TEPEOJUMA,0,104,0,12,0,0,0,0,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,1,0,0,213,286,E,13,22
2085,TEPEOJUMA,0,163,0,46,0,2,0,0,126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,2,0,0,0,382,553,B,13,22
2085,TEPEOJUMA,0,166,0,53,0,2,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,372,553,C,13,22
2085,TEPEOJUMA,0,166,0,51,1,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,1,0,0,396,553,C,13,22
2086,TEPEOJUMA,0,89,0,50,2,1,0,0,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,1,0,0,256,398,B,13,22
2086,TEPEOJUMA,0,113,0,35,2,4,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,261,398,C,13,22
2087,TEPEOJUMA,0,130,0,43,1,1,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,245,389,B,13,22
2087,TEPEOJUMA,0,122,0,48,1,0,0,0,59,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,253,389,C,13,22
2087,TEPEOJUMA,0,50,0,8,2,0,0,0,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,86,123,E,13,22
2088,TEPEOJUMA,0,82,0,15,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,139,200,B,13,22
2088,TEPEOJUMA,0,70,0,23,0,2,0,0,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2,0,0,0,167,219,E,13,22
2085,TEPEOJUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B1,13,22
