MUNICIPIO,SECCION ELECTORAL,PAN,PRI,PRD,PT,PVEM,MC,MORENA,C_PAN_PRD_MC,C_PAN_PRD,C_PAN_MC,C_PRD_MC,C_PT_PVEM_MORENA,C_PT_PVEM,C_PT_MORENA,C_PVEM_MORENA,TOTAL DE VOTOS,LISTA NOMINAL,PRIORIDAD
SAN PEDRO CHOLULA,1812,598,66,13,31,11,28,145,105,12,9,0,37,4,7,1,1083,2399,BAJA (A)
PUEBLA,1194,385,112,12,48,17,28,278,60,0,7,8,36,9,36,6,1083,2678,BAJA (A)
AJALPAN,90,93,72,11,202,32,22,540,1,2,0,0,9,6,3,9,1080,2102,BAJA (A)
CUAUTLANCINGO,329,418,134,10,36,22,17,266,65,4,4,1,60,8,8,4,1080,3417,BAJA (A)
SAN ANDRES CHOLULA,1671,350,150,16,48,25,29,243,46,5,11,1,72,8,19,5,1079,3674,BAJA (A)
PUEBLA,951,408,147,17,49,25,28,188,86,5,14,0,62,6,3,1,1067,3405,BAJA (A)
ZINACATEPEC,2527,90,89,12,181,36,6,428,7,1,0,0,131,33,25,12,1067,2565,BAJA (A)
PUEBLA,1197,404,88,16,53,16,26,264,61,6,7,4,67,11,12,5,1067,2776,BAJA (A)
SAN ANDRES CHOLULA,1666,504,85,13,25,16,37,217,69,7,7,1,47,3,5,3,1066,2923,BAJA (A)
SAN NICOLAS BUENOS AIRES,1791,98,407,6,60,207,11,173,2,1,1,1,38,15,6,14,1064,2849,BAJA (A)
TILAPA,2183,59,98,12,95,150,6,262,3,4,2,0,35,7,5,4,1062,2429,BAJA (A)
TLAOLA,2254,86,216,13,62,380,19,200,0,1,0,0,16,9,1,2,1062,2423,BAJA (A)
ZACATLAN,2479,132,358,10,137,75,16,196,9,1,1,1,51,12,9,7,1060,2916,BAJA (A)
PANTEPEC,913,58,48,30,34,491,224,100,39,0,0,0,5,4,4,2,1059,1868,BAJA (A)
PUEBLA,1416,276,136,12,113,61,22,243,42,3,7,1,98,8,10,3,1058,5500,BAJA (A)
PUEBLA,1533,578,79,4,33,5,25,170,97,7,6,4,29,4,2,2,1058,1939,BAJA (A)
ZACAPOAXTLA,2445,110,504,9,79,56,8,199,7,1,0,0,24,7,8,4,1057,3219,BAJA (A)
SAN MARTIN TEXMELUCAN,1756,287,106,29,148,40,30,282,29,2,3,0,40,4,9,3,1055,5035,BAJA (A)
CHICONCUAUTLA,426,17,77,3,44,170,3,155,10,8,7,6,173,100,94,150,1053,1242,BAJA (A)
IXTEPEC,728,111,439,16,227,12,9,166,2,1,0,0,15,4,2,2,1050,2607,BAJA (A)
